Name	ID	Type	Experience	CanDrive	WeaponLicense	Contribution	Rank
Gaylene	11044	Investigator	34	FALSE		4.85	8
Edee	11045	Investigator	27	FALSE		4.98	6
Britni	11046	Investigator	15	TRUE		3.87	5
Gisela	11047	Investigator	30	TRUE		1.84	3
Cherilyn	11048	Investigator	19	TRUE		1.4	9
Tybie	11049	Investigator	14	TRUE		4.49	5
Berta	11050	Investigator	17	FALSE		1.47	6
Netty	11051	Investigator	4	TRUE		6.36	6
Antonietta	11052	Investigator	15	FALSE		5.62	3
Grier	11053	Investigator	25	TRUE		3.36	9
Maud	11054	Investigator	19	FALSE		3.55	5
Candi	11055	Investigator	1	FALSE		6.55	10
Ofilia	11056	Investigator	26	TRUE		5.22	2
Goldie	11057	Investigator	17	FALSE		5.07	5
Dorene	11058	Investigator	32	TRUE		4.99	4
Latisha	11059	Investigator	10	FALSE		1.03	9
Lenna	11060	Investigator	22	FALSE		1.91	8
Dorothy	11061	Investigator	24	TRUE		4.4	8
Catharine	11062	Investigator	8	TRUE		1.3	5
Shel	11063	Investigator	35	FALSE		2.2	10
Lanae	11064	Investigator	18	FALSE		3.65	6
Josephine	11065	Investigator	24	FALSE		4.88	8
Joleen	11066	Investigator	32	TRUE		3.66	6
Gilda	11067	Investigator	1	TRUE		4.54	5
Rosanne	11068	Investigator	9	TRUE		5.24	3
Chastity	11069	Investigator	23	TRUE		5.26	4
Norine	11070	Investigator	24	FALSE		5.86	3
Rozele	11071	Investigator	22	FALSE		1.19	3
Julieta	11072	Investigator	8	FALSE		5.02	6
Deloria	11073	Investigator	19	TRUE		6.06	4
Annice	11074	Investigator	25	FALSE		5.45	3
Vere	11075	Investigator	26	TRUE		5.72	3
Kerrin	11076	Investigator	9	FALSE		2.89	1
Luci	11077	Investigator	5	TRUE		4.44	4
Annecorinne	11078	Investigator	4	TRUE		6.6	10
Moyna	11079	Investigator	33	FALSE		4.2	9
Flory	11080	Investigator	27	TRUE		1.43	10
Dorthy	11081	Investigator	3	FALSE		6.22	3
Natka	11082	Investigator	19	FALSE		3.82	10
Carolina	11083	Investigator	27	FALSE		2.73	8
Ebonee	11084	Investigator	2	FALSE		5.58	8
Estell	11085	Investigator	31	FALSE		5.75	10
Laurene	11086	Investigator	26	FALSE		6.66	7
Suzette	11087	Investigator	20	TRUE		4.68	3
Drucie	11088	Investigator	30	FALSE		5.1	2
Anestassia	11089	Investigator	37	TRUE		1.15	5
Kial	11090	Investigator	39	TRUE		2.7	2
Tiffie	11091	Investigator	40	FALSE		2.05	9
Bobinette	11092	Investigator	34	FALSE		4.44	1
Hermione	11093	Investigator	35	TRUE		1.86	4
Robinia	11094	Investigator	31	TRUE		2.79	2
Tatiania	11095	Investigator	6	FALSE		5.58	6
Kylynn	11096	Investigator	25	FALSE		6.49	4
Ronna	11097	Investigator	14	TRUE		6.17	6
Corene	11098	Investigator	30	FALSE		2.9	4
Kaia	11099	Investigator	27	FALSE		2.47	1
